day,month,year,siteID,species,project,habitat,plotNR,DURIN_plot,ageClass,DroughtTrt,DroughNet_plotID,plant_height,photoID_N,photoID_W,photo_comment,# branches>5mm,# broken_branches>5mm,# broken_branches<5mm,length_longest_branch_cm,number_segments,fruits or flowers,reproductive stem,#_branches_s1,#_branches_s2,alive_leaf_count_s1_y1_b1,dead_leaf_count_s1_y1_b1,fruits_s1_y1_b1,comment_reproductive_stem,alive_leaf_count_s2_b1,dead_leaf_count_s2_b1,fruits_s2_y2_b1,alive_leaf_count_s2_y1_b1,dead_leaf_count_s2_y1_b1,fruits_s2_y1_b1,alive_leaf_count_s2_y1_b2,dead_leaf_count_s2_y1_b2,fruits_s2_y1_b2,alive_leaf_count_s2_y1_b3,dead_leaf_count_s2_y1_b3,fruits_s2_y1_b3,alive_leaf_count_s2_y1_b4,dead_leaf_count_s2_y1_b4,fruits_s2_y1_b4,alive_leaf_count_s1_b2,dead_leaf_count_s1_b2,fruits_s1_y1_b2,alive_leaf_count_s2_b2,dead_leaf_count_s2_b2,alive_leaf_count_s2_y2_b1,dead_leaf_count_s2_y2_b1,leaf_scar_s1_y1_b1,leaf_scar_s2_y2_b1,leaf_scar_s2_y1_b1,leaf_scar_s2_y1_b2,leaf_scar_s2_y1_b3,leaf_scar_s2_y1_b4,leaf_scar_s1_b2,leaf_scar_b2_s2,branch_length_s1_y1_b1,branch_length_s2_y2_b1,branch_length_s1_b2,branch_length_s2_b2,branch_length_s2_y2_b1,branch_length_s2_y1_b1,branch_length_s2_y1_b2,branch_length_s2_y1_b3,branch_length_s2_y1_b4,Comment_smaller_branches,leaf_mass_s1_y1_b1,stem_mass_s1_y1_b1,fruit_s1_y1_b1,leaf_mass_s1_y1_b2,stem_mass_s1_y1_b2,detached_leaf_y1,s1_reproductive_part,leaf_mass_s2_y1_side_branches,stem_mass_s2_y1_side_branches,leaf_s2_y1_sb1,stem_s2_y1_sb1,fruit_s2_y1_b1,leaf_mass_s2_y2_b1,stem_mass_s2_y2_b1,dead_leaves_s2_y2_b1,s2_reproductive_part,s2_flowers,flower_mass,fruit_mass,reproductive_part_mass,Chopping technician,time spent on chopping,weighing date,Mass technician,weighing time,balance,REMAINING BRANCH PROCESSING >>>>>,Comment,#_branches_s1_remain,#_branches_s2_remain,#_branches_s3_remain,#_branches_s4_remain,#_branches_s5_remain,#_branches_s6_remain,#_broken_branches_remain,roots_remain,alive_leaf_count_s1_y1_total_remain,dead_leaf_count_s1_y1_total_remain,fruits_s1_y1_total_remain,alive_leaf_count_s2_total_remain,dead_leaf_count_s2_total_remain,fruits_s2_y2_total_remain,reproductive structure,alive_leaf_count_s2_y1_total_remain,dead_leaf_count_s2_y1_total_remain,fruits_s2_y1_total_remain,alive_leaf_count_s3_y3_total_remain,dead_leaf_count_s3_y3_total_remain,alive_leaf_count_s4_y4_total_remain,dead_leaf_count_s4_y4_total_remain,alive_leaf_count_s5_y5_total_remain,lost_leaves,leaf_scar_s1_y1_total_remain,leaf_scar_s2_y2_total_remain,leaf_scar_s2_y1_total_remain,leaf_scar_s3_y3_total_remain,leaf_scar_s4_y4_total_remain,leaf_scar_s5_y5_total_remain,leaf_scar_s6_y6_total_remain,branch_length_s1_y1_total_remain,branch_length_s2_y2_total_remain,branch_length_s2_y1_total_remain,branch_length_s3_y3_total_remain,branch_length_s4_y4_total_remain,branch_length_s5_y5_total_remain,branch_length_s6_y6_total_remain,Comment_smaller_branches_remain,leaf_mass_s1_y1_total_remain,stem_mass_s1_y1_total_remain,leaf_mass_s2_y2_total_remain,stem_mass_s2_y2_total_remain,s2_y2_b1_reproductive_structure,leaf_mass_s2_y1_total_remain,stem_mass_s2_y1_total_remain,leaf_mass_s3_y3_total_remain,stem_mass_s3_y3_total_remain,s3_reproductive_structure,leaf_mass_s4_y4_total_remain,stem_mass_s4_y4_total_remain,stem_mass_s5_y5_total_remain,stem_mass_s6_y6_total_remain,rooted_part_mass,remain_stem_mass,dead_stem,broken_stems,lost_leaf_mass,dead_leaves,remainin_ fruit,Chopping technician,time spent on chopping,weighing date,Mass technician,weighing time,Which balance
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Forested,3,SO_F_CV_3,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Vaccinium vitis-idaea,Field - Biomass,Forested,2,SO_F_VV_2,,,,28.9,x,x,,2,1,0,29.2,5,absent,,0,0,12,0,0,,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,29,65,0,0,0,0,0,0,0,no,0.12046,0.01118,0,,,,,0,0,0,0,0,0.21744,0.05851,0,0,,0,0,0,Elodie MANZANO,40',30/05/2024,Elodie MANZANO,10',precise,,"Only 1 branch on the entire sample, chopped for main branch, there are 1 lost leaf in the newspaper, taken for Lost leaves, a broken branch attached to S5 was added to S4 even though it seems dead for a long time",0,0,1,2,1,,0,yes,0,0,0,0,0,0,,0,0,0,2,,0,,0,1,0,0,0,26,11,0,,0,0,0,87,95,23,,no,0,0,0,0,,0,0,0.01829,0.13896,,0,0.15586,0.05231,0,0.10207,0,,,0.00878,,0,Elodie MANZANO,,28/05/2024,Elodie MANZANO,15',precise
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Forested,4,SO_F_CV_4,,,,23.0,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Empetrum nigrum,Field - Biomass,Forested,1,SO_F_EN_1,,,,24.6,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Forested,5,SO_F_CV_5,,,,14.2,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Vaccinium vitis-idaea,Field - Biomass,Forested,3,SO_F_VV_3,,,,16.5,x,x,,2,1,0,17,3,absent,,0,1,12,0,0,,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,14,0,0,0,0,0,43,53,0,0,0,28,0,0,0,no,0.12774,0.01636,0,,,,0,0.05464,0.00838,0,0,0,0.24788,0.0483,0,0,0,0,0,0,Elodie MANZANO,1h20,31/05/2024,Elodie MANZANO,10',precise,,"Only 1 branch on the entire sample, chopped for main branch, there are 2 lost leaves in the newspaper, taken for Lost leaves, no S4",0,0,1,0,0,,0,yes,0,0,0,0,0,0,,0,0,0,1,,0,,0,2,0,0,0,21,0,0,,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0.02832,0.11969,,0,0,0,0,0.05656,0,,,0.03929,,0,Elodie MANZANO,,28/05/2024,Elodie MANZANO,15',precise
27,June,2023,Sogndal,Empetrum nigrum,Field - Biomass,Forested,5,SO_F_EN_5,,,,31.6,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Vaccinium vitis-idaea,Field - Biomass,Forested,1,SO_F_VV_1,,,,19.2,x,x,,7,3,0,24.8,4,absent,,0,0,13,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,55,95,0,0,0,0,0,0,0,no,0.07268,0.01334,0,,,,0,0,0,0,0,0,0.03976,0.05802,0,0,0,0,0,0,Elodie MANZANO,40',31/05/2024,Elodie MANZANO,10',precise,,"1 leaf lost before processing, s5 is the fisrt segment, too woody at its base to count the total number of leaf scars, broken branch attached to S5 added to S4",5,4,3,2,1,,1,no,16,0,0,4,0,0,,0,0,0,3,,0,,0,1,54,42,0,30,17,8,,142,143,0,138,107,102,,no,0.08355,0.04117,0.03049,0.06116,0,0,0,0.01042,0.09002,,0,0.12245,0.19041,0,0,0,,,0.00137,,0,Elodie MANZANO,,28/05/2024,Elodie MANZANO,20',precise
27,June,2023,Sogndal,Vaccinium vitis-idaea,Field - Biomass,Forested,5,SO_F_VV_5,,,,20.0,x,x,,5,2,2,17.8,4,absent,,0,0,14,0,0,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,40,82,0,0,0,0,0,0,0,no,0.17236,0.01791,0,,,,,0,0,0,0,0,0.19551,0.08305,0,0,,0,0,0,Elodie MANZANO,30',30/05/2024,Elodie MANZANO,10',precise,,"1 broken branch with a leaf, supposed to be a S2 stem due to how it is attached and how near stems are attached (cf foto)",2,3,4,1,1,,2,no,9,0,0,10,0,0,,0,0,0,2,,0,,0,0,15,30,0,36,10,7,,20,93,0,115,48,22,,no,0.01559,0.00323,0.05413,0.03415,0,0,0,0.01344,0.0969,,0,0.03475,0.03927,0,0,0,,,0,,0,Elodie MANZANO,,28/05/2024,Elodie MANZANO,20',precise
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Forested,1,SO_F_CV_1,,,,15.6,x,x,longest branch was detatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Empetrum nigrum,Field - Biomass,Forested,4,SO_F_EN_4,,,,16.2,x,x,roots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Open,5,SO_O_CV_5,,,,21.4,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Forested,3,SO_F_CV_3,,,,20.5,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Empetrum nigrum,Field - Biomass,Forested,2,SO_F_EN_2,,,,28.2,x,,"roots, NO WHITE PHOTO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Forested,2,SO_O_CV_2,,,,24.0,x,x,habitat and plotID don't match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Empetrum nigrum,Field - Biomass,Forested,3,SO_F_EN_3,,,,34.0,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Open,3,SO_O_CV_3,,,,21.1,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Vaccinium vitis-idaea,Field - Biomass,Forested,4,SO_F_VV_4,,,,19.6,x,k,,2,0,0,16.4,3,present,,0,0,13,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,0,17,17,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0.16663,0.02648,0,,,,,0,0,0,0,0,0.16374,0.09135,0,0,,0,0,0,,,30/05/2024,Elodie MANZANO,10',precise,,"1 leaf lost during processing, knowing where it was from (+ 1 cut from the suggested S2 to have a better insight of the plant), no S1 segment due to reproductive structure on S2",0,1,1,1,0,,0,no,0,0,0,9,0,0,yes,0,0,0,10,,2,,0,0,0,13,0,17,18,8,,0,34,0,50,42,25,,no,0,0,0.15583,0.01892,0.01553,0,0,0.19096,0.03755,,0.00985,0.03759,0.03923,0,0,0,,,0,,0,Elodie MANZANO,,28/05/2024,Elodie MANZANO,20',precise
27,June,2023,Sogndal,Empetrum nigrum,Field - Biomass,Open,3,SO_O_EN_3,,,,25.2,x,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Empetrum nigrum,Field - Biomass,Open,2,SO_O_EN_2,,,,23.2,x,k,"unsure if height is 23.2 or 26.2, NO PHOTO IN THE FOLDER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Empetrum nigrum,Field - Biomass,Open,1,SO_O_EN_1,,,,17.0,x,k,NO PHOTO IN THE FOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Open,2,SO_O_CV_2,,,,22.5,x,k,duplicated line,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Open,4,SO_O_CV_4,,,,21.4,x,k,NO PHOTO IN THE FOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Calluna vulgaris,Field - Biomass,Open,1,SO_O_CV_1,,,,23.1,x,k,NO PHOTO IN THE FOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,June,2023,Sogndal,Vaccinium myrtillus,Field - Biomass,Forested,3,SO_F_VM_3,,,,29.0,x,k,NO PHOTO IN THE FOLDER,18,8,3,33.2,6,absent,,0,3,6,0,0,,0,0,0,6,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,7,5,0,0,0,58,87,0,0,0,69,57,27,0,,0.04317,0.02428,0,,,,0,0.06438,0.04765,0,0,0,0,0.06692,0,0,0,0,0,0,,,31/05/2024,Elodie MANZANO,10',precise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.327,0,0,0,0,0,,,31/05/2024,Elodie MANZANO,10',precise
27,June,2023,Sogndal,Vaccinium myrtillus,Field - Biomass,Forested,1,SO_F_VM_1,,,,26.3,x,k,NO PHOTO IN THE FOLDER,31,9,,26.9,6,,,0,1,5,0,0,,0,0,0,5,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,5,5,5,0,0,,0,0,32,55,38,0,0,0,0,0,,,0.02712,0.0099,0,,,,0,0.02003,0.00819,0,0,0,0,0.03354,0,0,0,0,0,0,Xander Duisters,20' ,31/05/2024,Elodie MANZANO,10',precise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1975,0,0,0,0,0,,,29/05/2024,Elodie MANZANO,5',precise
27,June,2023,Sogndal,Vaccinium myrtillus,Field - Biomass,Forested,5,SO_F_VM_5,,,,20.0,x,k,NO PHOTO IN THE FOLDER,15,6,2,28.6,8,absent,,0,1,6,0,0,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,0,0,0,60,35,52,0,0,0,0,0,0,,0.02607,0.02219,0,0,0,0.00228,0,0.01271,0.01538,0,0,0,0,0.03516,0,0,0,0,0,0,Xander Duisters,30',31/05/2024,Elodie MANZANO,10',precise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88801,0,0,0,0,0,,,31/05/2024,Elodie MANZANO,10',precise
27,June,2023,Sogndal,Vaccinium myrtillus,Field - Biomass,Forested,4,SO_F_VM_4,,,,20.6,x,k,NO PHOTO IN THE FOLDER,6,0,0,20,4,absent,,1,2,5,0,0,,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,4,6,6,0,0,5,0,42,66,19,0,0,51,43,0,0,,0.02884,0.01516,0,0.01069,0.00296,,0,0.07212,0.03777,0,0,0,0,0.05696,0,0,0,0,0,0,Xander Duisters,1h,31/05/2024,Elodie MANZANO,10',precise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17605,0,0,0,0,0,,,31/05/2024,Elodie MANZANO,10',precise
27,June,2023,Sogndal,Vaccinium myrtillus,Field - Biomass,Forested,2,SO_F_VM_2,,,,22.5,x,k,,62,9,2,29.7,6,present,,0,3,6,0,0,,0,0,0,6,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,6,6,0,0,0,34,52,0,0,0,27,33,27,0,,0.02376,0.01061,0,0,0,0,0,0.03742,0.02285,0,0,0,0,0.0295,0,0,0,0,0,0,Elodie MANZANO,1h30,31/05/2024,Elodie MANZANO,10',precise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43184,0,0,0,0,0,0,0,0,,0,0,0,0,0,1.5334,0,0,0,0,0.05243,,,29/05/2024,Elodie MANZANO,5',precise
27,June,2023,Sogndal,Vaccinium myrtillus,Field - Biomass,Open,1,SO_O_VM_1,,,,33.5,x,k,"not in folder, retaken, segment 1 broken, taking S2 Y1 B1 as ""segment 1"" for biomass",34,11,2,25.7,6,absent,,0,4,0,0,0,,0,0,0,4,0,0,5,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,9,4,5,4,5,0,0,0,66,0,0,0,30,19,27,22,,0.02779,0.01016,0,,,,0,0.03387,0.01677,0,0,0,0,0.04567,0,0,0,0,0,0,Karolina Havlikova + Elodie MANZANO,1h30,31/05/2024,Elodie MANZANO,10',precise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31508,0,0,0,0,0,0,0,0,,0,0,0,0,0,1.1303,0,0,0,0,0,,,29/05/2024,Elodie MANZANO,5',precise
